batch_size,lag,network,MAE,RMSE,,MAPE,dataset
0,0,0,0,0,,0,0
128,6,LSTM,60.55,87.11,,49.52,workdays
128,6,GRU,65.93,92.91,,56.22,workdays
128,6,RNN,92.57,126.73,,88.38,workdays
128,9,LSTM,57.77,83.58,,42.65,workdays
128,9,GRU,65.01,91.4,,51.41,workdays
128,9,RNN,87.91,123.19,,85.39,workdays
128,12,LSTM,50.61,79.29,,29.72,workdays
128,12,GRU,50.63,77.82,,29.82,workdays
128,12,RNN,80.73,112.51,,75.71,workdays
128,18,LSTM,54.22,84.28,,30.61,workdays
128,18,GRU,51.99,80.5,,28.54,workdays
128,18,RNN,81.11,115.64,,78.8,workdays
256,6,LSTM,76.42,103.27,,65.54,workdays
256,6,GRU,61.12,86.07,,47.25,workdays
256,6,RNN,94.19,117.48,,63.91,workdays
256,9,LSTM,66.28,90.2,,48.46,workdays
256,9,GRU,197.68,217.11,,133.74,workdays
256,9,RNN,85.06,116.12,,77.9,workdays
256,12,LSTM,59.27,85.36,,45.15,workdays
256,12,GRU,46.25,75.96,,17.87,workdays
256,12,RNN,86.79,121.9,,84.96,workdays
256,18,LSTM,59.13,87.82,,45.07,workdays
256,18,GRU,52.03,77.65,,31.61,workdays
256,18,RNN,82.65,117.14,,80.5,workdays
512,6,LSTM,67.41,93.21,,54.59,workdays
512,6,GRU,61.27,87.43,,49.24,workdays
512,6,RNN,83.37,115.63,,77.93,workdays
512,9,LSTM,58.81,83.79,,43.11,workdays
512,9,GRU,55.97,81.44,,40.35,workdays
512,9,RNN,82.31,114.61,,76.42,workdays
512,12,LSTM,64.23,88.9,,48.31,workdays
512,12,GRU,40.44,71.14,,11.99,workdays
512,12,RNN,88.62,117.86,,77.81,workdays
512,18,LSTM,55.22,94.77,,20.93,workdays
512,18,GRU,64.61,89.62,,49.87,workdays
512,18,RNN,68.97,98.78,,60.74,workdays
